2016-07-28 14:37:59,069 | WARN  | Failed to remove session ID:107.196.eduroam.dynamic.rbg.tum.de-56448-1469706663719-2:1:-1 | org.apache.activemq.broker.TransportConnection.Service | ActiveMQ Task
org.apache.activemq.broker.BrokerStoppedException: Broker has been stopped: org.apache.activemq.broker.BrokerService$3@3970a5ee
	at org.apache.activemq.broker.ErrorBroker.removeSession(ErrorBroker.java:99)
	at org.apache.activemq.broker.MutableBrokerFilter.removeSession(MutableBrokerFilter.java:175)
	at org.apache.activemq.broker.TransportConnection.processRemoveSession(TransportConnection.java:631)
	at org.apache.activemq.broker.TransportConnection.processRemoveConnection(TransportConnection.java:724)
	at org.apache.activemq.broker.TransportConnection.doStop(TransportConnection.java:1014)
	at org.apache.activemq.broker.TransportConnection$3.run(TransportConnection.java:941)
	at java.lang.Thread.run(Thread.java:745)
2016-07-28 14:37:59,100 | WARN  | Failed to remove connection ConnectionInfo {commandId = 1, responseRequired = true, connectionId = ID:107.196.eduroam.dynamic.rbg.tum.de-56448-1469706663719-2:1, clientId = ID:107.196.eduroam.dynamic.rbg.tum.de-56448-1469706663719-3:1, userName = system, password = *****, brokerPath = null, brokerMasterConnector = false, manageable = true, clientMaster = true, faultTolerant = false} | org.apache.activemq.broker.TransportConnection.Service | ActiveMQ Task
org.apache.activemq.broker.BrokerStoppedException: Broker has been stopped: org.apache.activemq.broker.BrokerService$3@3970a5ee
	at org.apache.activemq.broker.ErrorBroker.removeConnection(ErrorBroker.java:91)
	at org.apache.activemq.broker.MutableBrokerFilter.removeConnection(MutableBrokerFilter.java:119)
	at org.apache.activemq.broker.TransportConnection.processRemoveConnection(TransportConnection.java:740)
	at org.apache.activemq.broker.TransportConnection.doStop(TransportConnection.java:1014)
	at org.apache.activemq.broker.TransportConnection$3.run(TransportConnection.java:941)
	at java.lang.Thread.run(Thread.java:745)
2016-07-28 14:37:59,100 | INFO  | Connector vm://localhost Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2016-07-28 14:37:59,562 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:107.196.eduroam.dynamic.rbg.tum.de-56448-1469706663719-0:1) stopped | org.apache.activemq.broker.BrokerService | Thread-21
2016-07-28 14:37:59,562 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:107.196.eduroam.dynamic.rbg.tum.de-56448-1469706663719-0:1) stopped | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2016-07-28 15:15:25,451 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@24dfb3be: startup date [Thu Jul 28 15:15:25 CEST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-07-28 15:15:40,588 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | main
2016-07-28 15:15:40,623 | INFO  | PListStore:/Users/JacksonIsaac/Development/apache-activemq-5.4.2/data/localhost/tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2016-07-28 15:15:40,760 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/JacksonIsaac/Development/apache-activemq-5.4.2/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2016-07-28 15:16:18,210 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-07-28 15:16:25,391 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-07-28 15:16:25,392 | INFO  | Recovery replayed 1 operations from the journal in 0.259 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-07-28 15:16:25,673 | INFO  | ActiveMQ 5.4.2 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2016-07-28 15:16:25,673 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2016-07-28 15:16:27,280 | INFO  | Listening for connections at: tcp://107.196.eduroam.dynamic.rbg.tum.de:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-07-28 15:16:27,281 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2016-07-28 15:16:27,355 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:107.196.eduroam.dynamic.rbg.tum.de-49219-1469711785831-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-07-28 15:16:27,719 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2016-07-28 15:16:29,482 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2016-07-28 15:16:30,724 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-07-28 15:16:33,698 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
2016-07-28 15:16:35,596 | INFO  | Initializing Spring root WebApplicationContext | /camel | main
2016-07-28 15:16:36,390 | INFO  | camel-osgi.jar/camel-spring-osgi.jar not detected in classpath | org.apache.camel.spring.handler.CamelNamespaceHandler | main
2016-07-28 15:16:43,857 | INFO  | Apache Camel 2.4.0 (CamelContext: camel) is starting | org.apache.camel.impl.DefaultCamelContext | main
2016-07-28 15:16:43,858 | INFO  | JMX enabled. Using ManagedManagementStrategy. | org.apache.camel.impl.DefaultCamelContext | main
2016-07-28 15:16:45,662 | INFO  | Found 4 packages with 15 @Converter classes to load | org.apache.camel.impl.converter.AnnotationTypeConverterLoader | main
2016-07-28 15:16:45,951 | INFO  | Loaded 146 type converters in 0.987 seconds | org.apache.camel.impl.converter.DefaultTypeConverter | main
2016-07-28 15:16:47,103 | INFO  | Connector vm://localhost Started | org.apache.activemq.broker.TransportConnector | main
2016-07-28 15:16:47,294 | INFO  | Route: route1 started and consuming from: Endpoint[activemq://example.A] | org.apache.camel.impl.DefaultCamelContext | main
